Date_Time,Air Temp at Surface [degC],Relative Humidity [percent],Avg Wind Speed [m/s],Wind Direction [degrees],Solar Flux [W/m^2],Longitude,Latitude,UHI Index,kml_zone
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.98324833,40.78428667,0.98220635,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.92745333,40.82850833,1.011296294,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.92755667,40.82857,1.011296294,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.92766667,40.828635,1.00480515,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.92789,40.82876667,1.00480515,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.928,40.828835,1.00480515,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.92810667,40.8289,1.00480515,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.92821167,40.828965,1.00480515,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.92831667,40.82903,1.00480515,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.92841833,40.82909,1.00047772,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.92851833,40.82915,1.00047772,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.92863167,40.82921,1.00480515,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.92905833,40.82943167,1.00480515,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.90307167,40.80981667,0.98917832,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.90309167,40.80992333,0.98485089,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.903105,40.81004,0.98485089,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.90312667,40.81015167,0.982687175,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.903145,40.810265,0.982687175,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.92735333,40.82844833,1.015623724,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.92725833,40.82840167,1.015623724,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.92874,40.82927167,1.00480515,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.92707,40.82831333,1.017787439,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.92716667,40.82835833,1.017787439,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.983185,40.78434667,0.98220635,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.98313,40.78438833,0.98220635,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.983075,40.78443667,0.98220635,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.98302833,40.78452167,0.980042635,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.98299833,40.78455,0.98220635,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.98297333,40.78458833,0.98220635,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.98295833,40.78462167,0.98220635,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.982945,40.78465,0.98220635,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.983055,40.78448167,0.980042635,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.98292667,40.78469333,0.98220635,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.98292333,40.78469667,0.984370065,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.92664167,40.82812667,1.019951154,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.92668667,40.828145,1.019951154,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.92674833,40.82817333,1.017787439,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.92682,40.828205,1.017787439,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.9269,40.82824,1.019951154,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.98293333,40.78468,0.98220635,
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.92698167,40.828275,1.019951154,
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.90168,40.81716333,0.989538939,
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.9016,40.81714833,0.985331716,
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.90152167,40.81711833,0.985331716,
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.901435,40.81707667,0.987495431,
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.901355,40.81703,0.987495431,
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.90103833,40.81671,0.985331716,
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.90114667,40.816855,0.983168001,
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.90108667,40.81679,0.983168001,
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.900995,40.81662333,0.985331716,
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.90176667,40.81717167,0.989538939,
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.90089667,40.81644167,0.983168001,
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.90128833,40.81696667,0.978840571,
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.972365,40.791295,0.986173161,
