Date_Time,Air Temp at Surface [degC],Relative Humidity [percent],Avg Wind Speed [m/s],Wind Direction [degrees],Solar Flux [W/m^2],Longitude,Latitude,UHI Index,LST,NDVI
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.9283,40.829,1.00480515,46.08106808000002,0.1280689440589295
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.9285,40.8292,1.00047772,44.39598422000006,0.1463583215735968
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.9272,40.8284,1.017787439,44.994137720000026,0.0767277780747232
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.9831,40.7844,0.98220635,39.41934709999998,0.2229655516724913
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.9831,40.7844,0.98220635,39.41934709999998,0.2229655516724913
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.9267,40.8282,1.017787439,44.47801670000001,0.2649361075801164
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,-73.9269,40.8282,1.019951154,44.33104184000001,0.172760794404951
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.9014,40.8171,0.987495431,44.97704762000001,0.3804574133740768
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.9011,40.8169,0.983168001,45.16845674000001,0.1144872113810319
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.9726,40.7914,0.981845731,42.76900669999998,0.1413072924870057
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.9423,40.7906,1.000117101,43.589331500000014,0.0821251903169196
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.9003,40.8153,0.99182286,43.02194018,0.1666601585380139
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.9304,40.8343,1.018148058,41.50433930000003,0.1918932098012922
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.9304,40.8343,1.026802918,41.50433930000003,0.1918932098012922
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.9307,40.8338,1.033294062,41.91108368000005,0.4940828202863173
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.931,40.8333,1.044112637,42.33491816000003,0.506503954185983
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.9742,40.7922,0.975354586,42.28706588,0.0845988290715349
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.9742,40.7922,0.975354586,42.28706588,0.0845988290715349
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.9745,40.7924,0.975354586,42.020460319999984,0.1701023323185042
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.9291,40.8346,1.009613405,43.84226497999998,0.1846646194275361
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.9296,40.8346,1.01177712,41.96919002000004,0.183420891041823
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,-73.9299,40.8346,1.020431979,41.96919002000004,0.183420891041823
2021-07-24 15:15:00,26.6,50.5,3.1,154,584,-73.9737,40.7892,0.975835412,41.48383118000004,0.2829545687832317
2021-07-24 15:15:00,26.6,50.5,3.1,154,584,-73.9745,40.7895,0.973671697,41.56928168000002,0.1662525104673724
2021-07-24 15:15:00,26.6,50.5,3.1,154,584,-73.9216,40.8139,1.021273424,44.406238280000025,0.6704133882852504
2021-07-24 15:15:00,26.6,50.5,3.1,154,584,-73.921,40.8142,1.019109709,46.26564116000003,0.1437859803589569
2021-07-24 15:15:00,26.6,50.5,3.1,154,584,-73.9205,40.8145,1.021273424,46.89455684000001,0.1026201357767227
2021-07-24 15:15:00,26.6,50.5,3.1,154,584,-73.8955,40.8177,0.998794831,44.65917176000005,0.157724750671383
2021-07-24 15:15:00,26.6,50.5,3.1,154,584,-73.9492,40.794,0.998314005,44.05418222000003,0.2416591373021449
2021-07-24 15:15:00,26.6,50.5,3.1,154,584,-73.9492,40.794,0.99182286,44.05418222000003,0.2416591373021449
2021-07-24 15:15:00,26.6,50.5,3.1,154,584,-73.8958,40.8182,1.000958546,43.98582182000001,0.1752431975186804
2021-07-24 15:15:00,26.6,50.5,3.1,154,584,-73.8966,40.8198,0.990019765,43.322725940000055,0.1833020531194904
2021-07-24 15:15:00,26.6,50.5,3.1,154,584,-73.9745,40.7895,0.971507982,41.56928168000002,0.1662525104673724
2021-07-24 15:15:00,26.6,50.5,3.1,154,584,-73.9863,40.772,0.993986575,41.22064364000005,0.2506908547091908
2021-07-24 15:15:00,26.6,50.5,3.1,154,584,-73.9861,40.7723,0.99615029,41.31976622000002,0.1237027591825168
2021-07-24 15:15:00,26.6,50.5,3.1,154,584,-73.9275,40.8373,1.009974024,42.41353262000001,0.1767319126194135
2021-07-24 15:15:00,26.6,50.5,3.1,154,584,-73.9877,40.7701,0.993986575,43.39792238000001,0.2133932311603517
